CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
ML08-0712,2,3,2,1,2,3,1,0,2,2,2,2
ML08-0835,1,2,2,2,2,3,1,0,1,2,2,2
ML08-0862,2,3,1,1,2,3,1,1,1,2,2,1
ML08-0925,,,,,,,,0,,2,2,1
ML08-0962,1,3,2,2,2,,,0,3,2,2,2
ML08-0962,1,3,2,3,2,,,1,3,2,2,2
ML08-0996,3,3,2,2,1,1,1,0,1,2,2,1
ML08-1022,2,2,1,1,2,3,1,1,1,2,2,2
ML08-1028,2,3,1,1,1,3,,0,1,2,2,2
ML08-1113,1,3,2,2,2,0,0,0,1,2,2,2
ML08-1113,1,3,2,2,1,0,1,0,1,2,2,2
ML08-1143,2,3,1,0,2,,,0,1,2,2,1
ML08-1231,1,3,2,1,2,1,,0,1,2,2,2
ML08-1231,1,3,2,1,2,1,,0,3,2,2,2
UT01-91D,1,1,1,1,2,1,1,0,3,2,2,2
UT20-94D,2,2,1,1,2,1,1,1,3,2,2,2
UT20-94D,2,3,1,1,2,1,1,0,2,2,2,2
UT34-99D,2,3,1,1,2,3,1,1,2,2,2,2
UT46-04D,3,3,2,1,2,4,1,0,2,2,2,2
1016R,1,2,1,3,2,4,0,0,2,1,3,1
104RR,1,1,3,2,2,3,0,1,2,1,1,1
1058,3,2,2,1,1,2,0,0,3,1,3,1
1065RR,3,3,2,1,1,4,1,0,3,1,3,1
1069,,3,2,2,2,3,0,0,2,1,3,1
106R,1,1,1,1,2,0,0,0,2,1,1,1
1071R,1,3,2,1,1,3,0,0,3,1,3,1
107R,1,3,2,2,1,4,0,0,1,1,3,1
1080RR,1,3,2,3,1,4,1,0,2,1,3,1
1085R,1,3,3,2,3,0,0,0,2,1,3,1
109,3,3,2,1,2,3,1,1,2,1,3,2
1094,1,2,1,1,1,4,1,0,3,1,3,1
1100R,3,3,2,3,1,2,0,0,3,1,3,1
1103R,3,3,2,1,1,1,1,0,2,1,3,1
1109R,1,3,2,1,2,3,1,0,3,1,3,1
110R,1,3,3,1,3,3,1,0,2,1,3,1
1119,3,5,2,1,1,0,0,0,2,1,3,1
111R,3,5,2,1,2,3,1,0,2,1,3,2
1120RR,1,3,2,2,1,3,0,1,3,1,3,1
1123R,3,4,2,1,1,4,0,0,3,1,3,1
112R,1,3,2,1,2,4,1,0,3,1,3,1
1139,3,2,1,1,2,0,0,0,2,1,3,1
1149R,2,1,2,3,3,1,0,0,2,1,1,2
1150,1,1,3,1,3,0,0,0,1,1,1,1
1151,1,1,3,3,3,0,1,1,2,1,1,2
1152,1,1,3,2,2,0,0,0,2,1,1,2
1153,1,2,1,2,2,4,1,0,2,1,3,1
1154,2,4,2,2,1,4,1,0,2,1,3,1
1155,3,5,2,2,1,3,0,0,3,1,3,1
1156,1,1,2,2,2,2,0,0,2,1,1,2
1157,1,1,3,1,3,3,1,1,2,1,1,2
1159,3,2,3,3,3,0,0,0,1,1,1,2
115R,2,2,1,1,1,3,0,0,1,1,3,1
1161RR,1,1,2,2,3,0,1,1,2,1,1,1
1162,2,1,3,1,2,2,0,0,1,1,1,2
1163,1,1,3,1,3,1,1,1,3,1,1,1
1164,1,1,3,3,2,0,1,1,2,1,1,1
1165,1,1,3,2,2,2,1,1,3,1,1,2
1166,1,3,2,1,1,4,1,0,1,1,3,1
1168,1,1,2,1,3,0,0,1,0,1,1,2
1169,1,1,2,3,2,2,0,0,2,1,1,2
1172,1,1,2,3,2,1,1,1,2,1,1,2
1173,3,2,2,2,2,1,0,0,2,1,1,1
1174,1,2,1,2,2,2,1,0,1,1,3,1
1175,2,3,2,1,1,3,1,0,1,1,3,2
1176,3,5,2,3,1,3,1,0,3,1,3,2
1177R,1,3,1,2,1,1,1,0,1,1,3,2
1178,1,1,3,3,3,0,1,1,1,1,1,2
1179,3,5,1,2,1,2,0,0,1,1,3,2
1180,3,5,2,3,1,4,0,0,1,1,3,2
1181,3,5,2,2,1,2,1,0,1,1,3,2
1182R,1,1,3,2,2,0,0,1,2,1,1,1
1183,1,1,2,3,2,3,0,0,1,1,1,2
1184,1,1,2,1,3,1,1,1,1,1,1,2
1185,1,1,2,2,2,2,0,1,1,1,1,2
1187,1,3,3,2,3,0,0,0,1,1,1,2
1188R,1,1,3,1,2,0,0,1,2,1,1,1
1190,1,1,3,2,3,1,0,0,1,1,1,2
1191,2,2,1,1,2,0,0,0,2,1,1,2
1192,1,2,2,2,2,4,1,1,2,1,1,2
1193,3,3,1,1,2,3,0,0,2,1,3,2
1194,,3,2,3,1,2,0,0,1,1,3,2
1195,1,1,3,1,3,2,1,1,2,1,1,2
1196,3,3,3,3,2,1,0,1,1,1,1,2
1197,1,2,1,1,3,4,0,0,2,1,3,2
1198,1,1,2,1,2,0,1,1,2,1,1,1
1199R,3,5,2,2,1,4,0,0,1,1,3,1
1200,1,1,1,2,2,3,1,1,2,1,1,2
1202R,2,4,1,2,2,3,1,0,1,1,3,1
1205,1,1,3,1,2,0,0,0,3,1,1,2
1209,1,1,2,3,1,0,0,1,2,1,1,1
120R,1,1,3,1,3,2,0,1,2,1,1,1
1210,1,4,2,1,2,0,0,1,1,1,1,1
1211,1,1,3,1,3,0,0,1,2,1,1,1
1215,1,1,2,2,2,2,0,0,2,1,1,1
1222,1,1,3,1,3,0,0,1,2,1,1,1
1223,3,2,3,1,3,0,0,0,0,1,1,2
1224,1,1,2,1,2,2,1,1,2,1,1,2
1225,3,5,2,3,1,3,1,0,3,1,3,2
1227,1,3,3,1,3,0,0,0,3,1,1,1
1228,1,3,1,2,1,4,1,0,1,1,3,2
1229,2,1,1,1,1,2,1,0,3,1,3,2
122R,3,4,1,1,1,4,0,0,2,1,3,1
1230,3,3,2,1,1,4,0,0,2,1,3,2
1231,1,1,2,3,3,3,1,1,3,1,1,1
1232,3,3,2,3,1,4,0,1,1,1,3,2
1233R,1,2,1,2,2,1,0,0,1,1,3,1
1235,1,1,1,3,2,2,0,0,1,1,1,2
1236,1,1,3,2,3,0,0,0,1,1,1,1
1238,1,1,3,2,3,0,0,0,1,1,1,2
1239R,1,4,1,1,2,4,0,0,2,1,3,1
1240,1,1,2,3,2,1,0,0,3,1,1,2
1241,3,5,2,3,1,3,0,0,1,1,3,2
1242,1,1,1,3,2,2,0,0,2,1,3,2
1243R,1,4,2,1,3,1,1,1,2,1,3,1
1244,3,2,3,2,3,0,0,1,3,1,1,1
1245,1,1,2,2,1,4,1,1,2,1,1,2
1246,1,3,2,1,3,0,1,1,0,1,1,2
1248,2,3,1,2,1,3,1,0,3,1,3,2
